Reads_in_million_1D	Yield_in_Gbp_1D	Mean_read_Length_1D	Chemistry	Flow_cell	Study	Notes
0.238937	1.480467	7.64	R9.0		Loman blog	--
0.356209	1.409812422	3.957	R9.0	FAB38981	"Jain et al., 2018. Nature Biotechnology 36:338-345"	Whole Human Genome Sequencing Project (Github)
0.018406	0.0331	1.799	R9.0	FAB29720	"This study, Caulerpa ashmeadii"	--
0.268959	0.7229	2.688	R9.0		"This study, Caulerpa ashmeadii"	--
1.481906	1.700235379	1.938	R9.0		"Weirather et al., 2017. F1000Research 6:100"	Average read length estimated
0.082259	0.089244295	1.085	R9.0		"Batovskaa et al., 2017. Journal of virology methods 249:79-84"	--
0.198913	0.219411804	0.831	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.1846	1.169061304	4.052	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.142374	0.931927653	4.486	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.155508	1.019278312	4.43	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.268004	1.340369063	5.001	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.161378	0.653447905	4.049	R9.0		Tyson et al. 2018. Genome Res. 28:266-274	--
0.252424	3.339142817	13.228	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.43924	5.183715529	11.802	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.520761	6.650042702	12.77	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.4314	5.252529782	12.176	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.5613	7.058376081	12.575	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.380518	5.36478396	14.099	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.346686	4.956793607	14.297	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.219392	2.942797165	13.413	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.379071	5.171422068	13.642	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
0.45107	6.721699609	14.901	R9.4		"Schmidt et al., 2017. The Plant Cell. 29: 2336-2348"	--
